554,4,61,لا يوجد تفسير لهذه الآية,وإذا نُصح هؤلاء، وقيل لهم: تعالوا إلى ما أنزل الله، وإلى الرسول محمد صلى الله عليه وسلم، وهديه، أبصَرْتَ الذين يظهرون الإيمان ويبطنون الكفر، يعرضون عنك إعراضًا.,وإذا قيل لهم تعالوا إلى ما أنزل الله وإلى الرسول رأيت المنافقين يصدون عنك صدودا
978,7,24,لا يوجد تفسير لهذه الآية,قال تعالى مخاطبًا آدم وحواء وإبليس: اهبطوا من السماء إلى الأرض، وسيكون بعضكم لبعض عدوًا، ولكم في الأرض مكان تستقرون فيه، وتتمتعون إلى انقضاء آجالكم.,قال اهبطوا بعضكم لبعض عدو ولكم في الأرض مستقر ومتاع إلى حين
1965,16,64,لا يوجد تفسير لهذه الآية,وما أنزلنا عليك القرآن -أيها الرسول- إلا لتوضح للناس ما اختلفوا فيه من الدين والأحكام؛ لتقوم الحجة عليهم ببيانك ورشدًا ورحمة لقوم يؤمنون.,وما أنزلنا عليك الكتاب إلا لتبين لهم الذي اختلفوا فيه وهدى ورحمة لقوم يؤمنون
2331,19,81,لا يوجد تفسير لهذه الآية,واتخذ المشركون آلهة يعبدونها من دون الله؛ لتنصرهم، ويعتزوا بها.,واتخذوا من دون الله آلهة ليكونوا لهم عزا
2332,19,82,لا يوجد تفسير لهذه الآية,ليس الأمر كما يزعمون، لن تكون لهم الآلهة عزًا، بل ستكفر هذه الآلهة في الآخرة بعبادتهم لها، وتكون عليهم أعوانًا في خصومتهم وتكذيبهم بخلاف ما ظنوه فيها.,كلا سيكفرون بعبادتهم ويكونون عليهم ضدا
2593,21,110,لا يوجد تفسير لهذه الآية,إن الله يعلم ما تجهرون به من أقوالكم، وما تكتمونه في سرائركم، وسيحاسبكم عليه.,إنه يعلم الجهر من القول ويعلم ما تكتمون
2613,22,18,لا يوجد تفسير لهذه الآية,ألم تعلم- أيها النبي- أن الله سبحانه يسجد له خاضعًا منقادًا مَن في السموات من الملائكة ومَن في الأرض من المخلوقات والشمس والقمر والنجوم والجبال والشجر والدواب؟ ولله يسجد طاعة واختيارًا كثير من الناس، وهم المؤمنون، وكثير من الناس حق عليه العذاب فهو مهين، وأيُّ إنسان يهنه الله فليس له أحد يكرمه. إن الله يفعل في خلقه ما يشاء وَفْقَ حكمته.,ألم تر أن الله يسجد له من في السموات ومن في الأرض والشمس والقمر والنجوم والجبال والشجر والدواب وكثير من الناس وكثير حق عليه العذاب ومن يهن الله فما له من مكرم إن الله يفعل ما يشاء
2933,26,1,"",(طسم) سبق الكلام على الحروف المقطعة في أول سورة البقرة.,طسم
3115,26,183,لا يوجد تفسير لهذه الآية,قال لهم شعيب- وقد كانوا يُنْقِصون الكيل والميزان-: أتمُّوا الكيل للناس وافيًا لهم، ولا تكونوا ممن يُنْقِصون الناس حقوقهم، وَزِنوا بالميزان العدل المستقيم، ولا تنقصوا الناس شيئًا مِن حقوقهم في كيل أو وزن أو غير ذلك، ولا تكثروا في الأرض الفساد، بالشرك والقتل والنهب وتخويف الناس وارتكاب المعاصي.,ولا تبخسوا الناس أشياءهم ولا تعثوا في الأرض مفسدين
3325,28,73,لا يوجد تفسير لهذه الآية,ومن رحمته بكم -أيها الناس- أن جعل لكم الليل والنهار فخالف بينهما، فجعل هذا الليل ظلامًا؛ لتستقروا فيه وترتاح أبدانكم، وجعل لكم النهار ضياءً؛ لتطلبوا فيه معايشكم، ولتشكروا له على إنعامه عليكم بذلك.,ومن رحمته جعل لكم الليل والنهار لتسكنوا فيه ولتبتغوا من فضله ولعلكم تشكرون
3358,29,18,لا يوجد تفسير لهذه الآية,وإن تكذِّبوا - أيها الناس- رسولنا محمدًا صلى الله عليه وسلم فيما دعاكم إليه من عبادة الله وحده، فقد كذبت جماعات من قبلكم رسلها فيما دعتهم إليه من الحق، فحل بهم سخط الله، وما على الرَّسول محمد إلا أن يبلغكم عن الله رسالته البلاغ الواضح، وقد فَعَل.,وإن تكذبوا فقد كذب أمم من قبلكم وما على الرسول إلا البلاغ المبين
3423,30,14,لا يوجد تفسير لهذه الآية,ويوم تقوم الساعة يفترق أهل الإيمان به وأهل الكفر، فأما المؤمنون بالله ورسوله، العاملون الصالحات فهم في الجنة، يكرَّمون ويسرُّون وينعَّمون.,ويوم تقوم الساعة يومئذ يتفرقون
3683,35,23,"",وما يستوي الأعمى عن دين الله، والبصير الذي أبصر طريق الحق واتبعه، وما تستوي ظلمات الكفر ونور الإيمان، ولا الظل ولا الريح الحارة، وما يستوي أحياء القلوب بالإيمان، وأموات القلوب بالكفر. إن الله يسمع مَن يشاء سماع فَهْم وقَبول، وما أنت -أيها الرسول- بمسمع مَن في القبور، فكما لا تُسمع الموتى في قبورهم فكذلك لا تُسمع هؤلاء الكفار لموت قلوبهم، إن أنت إلا نذير لهم غضب الله وعقابه. إنا أرسلناك بالحق، وهو الإيمان بالله وشرائع الدين، مبشرًا بالجنة مَن صدَّقك وعمل بهديك، ومحذرًا مَن كذَّبك وعصاك النار. وما من أمة من الأمم إلا جاءها نذير يحذرها عاقبة كفرها وضلالها.,إن أنت إلا نذير
3868,37,80,لا يوجد تفسير لهذه الآية,مثل جزاء نوح نجزي كلَّ مَن أحسن من العباد في طاعة الله.,إنا كذلك نجزي المحسنين
3870,37,82,لا يوجد تفسير لهذه الآية,ثم أغرقنا الآخرين المكذبين من قومه بالطوفان، فلم تبق منهم عين تَطْرِف.,ثم أغرقنا الآخرين
3884,37,96,لا يوجد تفسير لهذه الآية,فلقيهم إبراهيم بثبات قائلا كيف تعبدون أصنامًا تنحتونها أنتم، وتصنعونها بأيديكم، وتتركون عبادة ربكم الذي خلقكم، وخلق عملكم؟,والله خلقكم وما تعملون
3919,37,131,لا يوجد تفسير لهذه الآية,وجعلنا لإلياس ثناءً جميلا في الأمم بعده. تحية من الله، وثناءٌ على إلياس. وكما جزينا إلياس الجزاء الحسن على طاعته، نجزي المحسنين من عبادنا المؤمنين. إنه من عباد الله المؤمنين المخلصين له العاملين بأوامره.,إنا كذلك نجزي المحسنين
3964,37,176,لا يوجد تفسير لهذه الآية,أفبنزول عذابنا بهم يستعجلونك أيها الرسول؟ فإذا نزل عذابنا بهم، فبئس الصباح صباحهم.,أفبعذابنا يستعجلون
3967,37,179,لا يوجد تفسير لهذه الآية,وأعرض عنهم حتى يأذن الله بعذابهم، وأنظرهم فسوف يرون ما يحل بهم من العذاب والنكال.,وأبصر فسوف يبصرون
4339,43,14,لا يوجد تفسير لهذه الآية,لكي تستووا على ظهور ما تركبون، ثم تذكروا نعمة ربكم إذا ركبتم عليه، وتقولوا: الحمد لله الذي سخر لنا هذا، وما كنا له مطيقين، ولتقولوا أيضًا: وإنا إلى ربنا بعد مماتنا لصائرون إليه راجعون. وفي هذا بيان أن الله المنعم على عباده بشتَّى النعم، هو المستحق للعبادة في كل حال.,وإنا إلى ربنا لمنقلبون
4426,44,12,لا يوجد تفسير لهذه الآية,فانتظر -أيها الرسول- بهؤلاء المشركين يوم تأتي السماء بدخان مبين واضح يعمُّ الناس، ويقال لهم: هذا عذاب مؤلم موجع، ثم يقولون سائلين رفعه وكشفه عنهم: ربنا اكشف عنا العذاب، فإن كشفته عنا فإنا مؤمنون بك.,ربنا اكشف عنا العذاب إنا مؤمنون
4428,44,14,لا يوجد تفسير لهذه الآية,كيف يكون لهم التذكر والاتعاظ بعد نزول العذاب بهم، وقد جاءهم رسول مبين، وهو محمد عليه الصلاة والسلام، ثم أعرضوا عنه وقالوا: علَّمه بشر أو الكهنة أو الشياطين، هو مجنون وليس برسول؟,ثم تولوا عنه وقالوا معلم مجنون
4458,44,44,لا يوجد تفسير لهذه الآية,إن شجرة الزقوم التي تخرج في أصل الجحيم، ثمرها طعام صاحب الآثام الكثيرة، وأكبر الآثام الشرك بالله.,طعام الأثيم
4461,44,47,لا يوجد تفسير لهذه الآية,خذوا هذا الأثيم الفاجر فادفعوه، وسوقوه بعنف إلى وسط الجحيم يوم القيامة.,خذوه فاعتلوه إلى سواء الجحيم
